subj_idx,valence,condition,CR,hit,FA,miss,hitR,faR,dprime
1,Bad,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Bad,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
1,Bad,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Good,image_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Good,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
1,Good,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
1,Neutral,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
1,Neutral,simultaneous,39,40,1,0,0.9875,0.025,4.201366712145
1,Neutral,word_first,40,39,0,1,0.975,0.0125,4.201366712144998
2,Bad,image_first,38,40,2,0,0.9875,0.05,3.8862563545564193
2,Bad,simultaneous,36,35,4,5,0.875,0.1,2.4319009459206087
2,Bad,word_first,32,34,8,6,0.85,0.2,1.8780546230667037
2,Good,image_first,33,39,7,1,0.975,0.175,2.894553275613534
2,Good,simultaneous,34,35,5,5,0.875,0.1282051282051282,2.285265998369499
2,Good,word_first,27,38,13,2,0.95,0.325,2.0986158171213507
2,Neutral,image_first,31,37,9,3,0.925,0.225,2.1949464972989254
2,Neutral,simultaneous,31,35,9,4,0.8974358974358975,0.225,2.0224907776269134
2,Neutral,word_first,33,39,7,1,0.975,0.175,2.894553275613534
3,Bad,image_first,38,32,2,8,0.8,0.05,2.486474860524387
3,Bad,simultaneous,37,21,3,19,0.525,0.075,1.5022382488816695
3,Bad,word_first,35,31,5,9,0.775,0.125,1.9057644067364772
3,Good,image_first,35,40,5,0,0.9875,0.125,3.3917521079809543
3,Good,simultaneous,40,39,0,1,0.975,0.0125,4.201366712144998
3,Good,word_first,35,36,5,4,0.9,0.125,2.4319009459206087
3,Neutral,image_first,40,37,0,3,0.925,0.0125,3.6809341985434005
3,Neutral,simultaneous,40,38,0,2,0.95,0.0125,3.886256354556416
3,Neutral,word_first,36,35,4,5,0.875,0.1,2.4319009459206087
4,Bad,image_first,36,35,4,5,0.875,0.1,2.4319009459206087
4,Bad,simultaneous,38,37,2,3,0.925,0.05,3.0843850978899283
4,Bad,word_first,37,30,3,9,0.7692307692307693,0.075,2.1758473883145855
4,Good,image_first,33,35,7,5,0.875,0.175,2.084938671449488
4,Good,simultaneous,34,35,6,4,0.8974358974358975,0.15,2.3035091407602337
4,Good,word_first,28,38,12,2,0.95,0.3,2.169254139659512
4,Neutral,image_first,39,36,1,4,0.9,0.025,3.241515550084655
4,Neutral,simultaneous,38,35,2,5,0.875,0.05,2.7952030073274807
4,Neutral,word_first,35,35,5,5,0.875,0.125,2.3006987607520157
5,Bad,image_first,33,39,6,1,0.975,0.15384615384615385,2.9800402173262555
5,Bad,simultaneous,37,36,3,3,0.9230769230769231,0.075,2.8656083432113038
5,Bad,word_first,39,36,1,3,0.9230769230769231,0.025,3.386040856812902
5,Good,image_first,34,40,6,0,0.9875,0.15,3.277836117098736
5,Good,simultaneous,31,40,8,0,0.9875,0.20512820512820512,3.0648452148287646
5,Good,word_first,34,40,6,0,0.9875,0.15,3.277836117098736
5,Neutral,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
5,Neutral,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
5,Neutral,word_first,39,39,1,1,0.975,0.025,3.919927969080107
6,Bad,image_first,40,39,0,1,0.975,0.0125,4.201366712144998
6,Bad,simultaneous,39,38,1,2,0.95,0.025,3.6048176114915256
6,Bad,word_first,40,39,0,1,0.975,0.0125,4.201366712144998
6,Good,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
6,Good,simultaneous,38,39,1,1,0.975,0.02564102564102564,3.9090759814799414
6,Good,word_first,40,40,0,0,0.9875,0.0125,4.482805455209891
6,Neutral,image_first,39,38,1,2,0.95,0.025,3.6048176114915256
6,Neutral,simultaneous,39,39,1,1,0.975,0.025,3.919927969080107
