subj_idx,valence,condition,CR,FA,hit,miss,hitR,faR,dprime
1,circle,image_first,39,1,40,0,0.9875,0.025,4.201366712145
1,circle,simultaneous,38,2,39,1,0.975,0.05,3.6048176114915265
1,circle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
1,square,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
1,square,simultaneous,39,1,40,0,0.9875,0.025,4.201366712145
1,square,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
1,triangle,image_first,40,0,39,1,0.975,0.0125,4.201366712144998
1,triangle,simultaneous,39,1,39,1,0.975,0.025,3.919927969080107
1,triangle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
2,circle,image_first,36,4,36,4,0.9,0.1,2.5631031310892016
2,circle,simultaneous,35,5,39,1,0.975,0.125,3.1103133649160615
2,circle,word_first,38,2,35,5,0.875,0.05,2.7952030073274807
2,square,image_first,36,4,40,0,0.9875,0.1,3.5229542931495472
2,square,simultaneous,38,2,40,0,0.9875,0.05,3.8862563545564193
2,square,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
2,triangle,image_first,40,0,39,1,0.975,0.0125,4.201366712144998
2,triangle,simultaneous,39,1,38,2,0.95,0.025,3.6048176114915256
2,triangle,word_first,35,5,36,4,0.9,0.125,2.4319009459206087
3,circle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
3,circle,simultaneous,32,8,36,4,0.9,0.2,2.123172799117515
3,circle,word_first,34,6,37,3,0.925,0.15,2.4759648604322453
3,square,image_first,38,2,38,2,0.95,0.05,3.289707253902944
3,square,simultaneous,36,4,37,3,0.925,0.1,2.7210830364830567
3,square,word_first,37,3,36,4,0.9,0.075,2.7210830364830567
3,triangle,image_first,37,3,38,2,0.95,0.075,3.0843850978899274
3,triangle,simultaneous,34,6,32,8,0.8,0.15,1.8780546230667037
3,triangle,word_first,35,5,36,4,0.9,0.125,2.4319009459206087
4,circle,image_first,37,3,35,5,0.875,0.075,2.5898808513144633
4,circle,simultaneous,36,4,36,4,0.9,0.1,2.5631031310892016
4,circle,word_first,36,4,37,3,0.925,0.1,2.7210830364830567
4,square,image_first,35,5,31,9,0.775,0.125,1.9057644067364772
4,square,simultaneous,31,8,28,12,0.7,0.20512820512820512,1.3478429999318586
4,square,word_first,30,10,33,6,0.8461538461538461,0.25,1.6945659829822834
4,triangle,image_first,27,13,37,3,0.925,0.325,1.893293661108335
4,triangle,simultaneous,36,4,36,3,0.9230769230769231,0.1,2.7076284378174487
4,triangle,word_first,38,2,34,6,0.85,0.05,2.6812870164452622
5,circle,image_first,36,3,39,0,0.9871794871794872,0.07692307692307693,3.6576827075337714
5,circle,simultaneous,38,2,40,0,0.9875,0.05,3.8862563545564193
5,circle,word_first,40,0,40,0,0.9875,0.0125,4.482805455209891
5,square,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
5,square,simultaneous,40,0,40,0,0.9875,0.0125,4.482805455209891
5,square,word_first,40,0,38,2,0.95,0.0125,3.886256354556416
5,triangle,image_first,39,0,40,0,0.9875,0.01282051282051282,4.47300856286587
5,triangle,simultaneous,40,0,38,2,0.95,0.0125,3.886256354556416
5,triangle,word_first,39,1,39,0,0.9871794871794872,0.025,4.1915698198009785
6,circle,image_first,39,1,38,2,0.95,0.025,3.6048176114915256
6,circle,simultaneous,40,0,39,1,0.975,0.0125,4.201366712144998
6,circle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
6,square,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
6,square,simultaneous,40,0,37,3,0.925,0.0125,3.6809341985434005
6,square,word_first,40,0,40,0,0.9875,0.0125,4.482805455209891
6,triangle,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
6,triangle,simultaneous,40,0,39,1,0.975,0.0125,4.201366712144998
6,triangle,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
7,circle,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
7,circle,simultaneous,37,3,34,6,0.85,0.075,2.475964860432245
7,circle,word_first,38,2,39,1,0.975,0.05,3.6048176114915265
7,square,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
7,square,simultaneous,40,0,34,6,0.85,0.0125,3.277836117098734
7,square,word_first,38,2,35,5,0.875,0.05,2.7952030073274807
7,triangle,image_first,36,4,39,1,0.975,0.1,3.2415155500846544
7,triangle,simultaneous,39,1,39,1,0.975,0.025,3.919927969080107
7,triangle,word_first,39,1,39,1,0.975,0.025,3.919927969080107
8,circle,image_first,38,2,37,3,0.925,0.05,3.0843850978899283
8,circle,simultaneous,31,9,37,3,0.925,0.225,2.1949464972989254
8,circle,word_first,33,7,37,3,0.925,0.175,2.3741207620119362
8,square,image_first,35,5,28,12,0.7,0.125,1.6747498930840485
8,square,simultaneous,34,6,30,10,0.75,0.15,1.710923139689871
