subj_idx,valence,condition,CR,FA,hit,miss,hitR,faR,dprime
8,square,word_first,36,4,31,9,0.775,0.1,2.0369665919050703
8,triangle,image_first,37,3,35,5,0.875,0.075,2.5898808513144633
8,triangle,simultaneous,35,5,35,5,0.875,0.125,2.3006987607520157
8,triangle,word_first,32,8,34,6,0.85,0.2,1.8780546230667037
9,circle,image_first,36,4,40,0,0.9875,0.1,3.5229542931495472
9,circle,simultaneous,35,5,38,2,0.95,0.125,2.7952030073274794
9,circle,word_first,37,3,37,3,0.925,0.075,2.879062941876912
9,square,image_first,40,0,39,1,0.975,0.0125,4.201366712144998
9,square,simultaneous,37,3,36,4,0.9,0.075,2.7210830364830567
9,square,word_first,38,2,40,0,0.9875,0.05,3.8862563545564193
9,triangle,image_first,36,3,39,1,0.975,0.07692307692307693,3.386040856812901
9,triangle,simultaneous,36,3,40,0,0.9875,0.07692307692307693,3.667479599877794
9,triangle,word_first,38,2,33,7,0.825,0.05,2.5794429180249523
10,circle,image_first,36,3,37,3,0.925,0.07692307692307693,2.865608343211303
10,circle,simultaneous,39,1,39,1,0.975,0.025,3.919927969080107
10,circle,word_first,38,0,38,1,0.9743589743589743,0.013157894736842105,4.170631585277723
10,square,image_first,40,0,36,4,0.9,0.0125,3.5229542931495454
10,square,simultaneous,38,1,36,4,0.9,0.02564102564102564,3.2306635624844886
10,square,word_first,38,2,32,8,0.8,0.05,2.486474860524387
10,triangle,image_first,39,0,39,0,0.9871794871794872,0.01282051282051282,4.463211670521847
10,triangle,simultaneous,39,1,40,0,0.9875,0.025,4.201366712145
10,triangle,word_first,36,3,39,0,0.9871794871794872,0.07692307692307693,3.6576827075337714
11,circle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
11,circle,simultaneous,38,2,38,2,0.95,0.05,3.289707253902944
11,circle,word_first,38,1,40,0,0.9875,0.02564102564102564,4.190514724544834
11,square,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
11,square,simultaneous,34,5,39,0,0.9871794871794872,0.1282051282051282,3.366522453254415
11,square,word_first,39,1,40,0,0.9875,0.025,4.201366712145
11,triangle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
11,triangle,simultaneous,39,1,38,2,0.95,0.025,3.6048176114915256
11,triangle,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
12,circle,image_first,37,3,35,5,0.875,0.075,2.5898808513144633
12,circle,simultaneous,37,3,37,3,0.925,0.075,2.879062941876912
12,circle,word_first,37,3,36,4,0.9,0.075,2.7210830364830567
12,square,image_first,38,2,37,3,0.925,0.05,3.0843850978899283
12,square,simultaneous,38,2,38,2,0.95,0.05,3.289707253902944
12,square,word_first,39,1,40,0,0.9875,0.025,4.201366712145
12,triangle,image_first,38,2,35,5,0.875,0.05,2.7952030073274807
12,triangle,simultaneous,37,3,35,5,0.875,0.075,2.5898808513144633
12,triangle,word_first,37,3,39,1,0.975,0.075,3.399495455478509
13,circle,image_first,35,5,36,3,0.9230769230769231,0.125,2.5764262526488557
13,circle,simultaneous,32,8,38,2,0.95,0.2,2.486474860524386
13,circle,word_first,33,7,40,0,0.9875,0.175,3.1759920186784267
13,square,image_first,38,2,38,2,0.95,0.05,3.289707253902944
13,square,simultaneous,31,8,37,3,0.925,0.20512820512820512,2.262973958162274
13,square,word_first,31,9,38,2,0.95,0.225,2.400268653311941
13,triangle,image_first,39,1,36,4,0.9,0.025,3.241515550084655
13,triangle,simultaneous,34,6,39,1,0.975,0.15,2.996397374033843
13,triangle,word_first,35,5,37,3,0.925,0.125,2.5898808513144638
14,circle,image_first,37,2,36,4,0.9,0.05128205128205128,2.9140995313909492
14,circle,simultaneous,36,4,37,3,0.925,0.1,2.7210830364830567
14,circle,word_first,38,2,37,2,0.9487179487179487,0.05,3.277401592797821
14,square,image_first,37,3,29,11,0.725,0.075,2.037291596980934
14,square,simultaneous,35,5,27,13,0.675,0.125,1.6041115705458875
14,square,word_first,34,5,29,11,0.725,0.1282051282051282,1.7326767440359694
14,triangle,image_first,37,3,39,1,0.975,0.075,3.399495455478509
14,triangle,simultaneous,37,3,33,7,0.825,0.075,2.3741207620119353
14,triangle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
15,circle,image_first,28,10,36,1,0.972972972972973,0.2631578947368421,2.560043153743684
15,circle,simultaneous,35,5,38,2,0.95,0.125,2.7952030073274794
15,circle,word_first,32,7,38,1,0.9743589743589743,0.1794871794871795,2.866433182559115
15,square,image_first,32,3,35,2,0.9459459459459459,0.08571428571428572,2.974382992284931
15,square,simultaneous,31,8,37,3,0.925,0.20512820512820512,2.262973958162274
15,square,word_first,33,6,38,1,0.9743589743589743,0.15384615384615385,2.9691882297260888
15,triangle,image_first,33,3,35,1,0.9722222222222222,0.08333333333333333,3.297499952156196
15,triangle,simultaneous,37,3,37,2,0.9487179487179487,0.075,3.0720794367848034
15,triangle,word_first,35,5,38,1,0.9743589743589743,0.125,3.0994613773158948
16,circle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
16,circle,simultaneous,40,0,40,0,0.9875,0.0125,4.482805455209891
16,circle,word_first,37,2,35,3,0.9210526315789473,0.05128205128205128,3.0447355447525117
16,square,image_first,37,3,39,1,0.975,0.075,3.399495455478509
16,square,simultaneous,38,2,39,1,0.975,0.05,3.6048176114915265
16,square,word_first,36,1,37,1,0.9736842105263158,0.02702702702702703,3.864334663816811
16,triangle,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
16,triangle,simultaneous,39,1,40,0,0.9875,0.025,4.201366712145
16,triangle,word_first,39,0,38,0,0.9868421052631579,0.01282051282051282,4.45312542359876
17,circle,image_first,35,4,39,1,0.975,0.10256410256410256,3.227039735806498
17,circle,simultaneous,37,3,31,9,0.775,0.075,2.194946497298925
17,circle,word_first,35,4,38,2,0.95,0.10256410256410256,2.911929378217916
17,square,image_first,35,5,33,7,0.825,0.125,2.0849386714494877
17,square,simultaneous,36,3,26,13,0.6666666666666666,0.07692307692307693,1.8568041715683046
17,square,word_first,39,1,37,3,0.925,0.025,3.39949545547851
17,triangle,image_first,36,4,36,4,0.9,0.1,2.5631031310892016
17,triangle,simultaneous,37,3,40,0,0.9875,0.075,3.680934198543402
17,triangle,word_first,35,4,36,3,0.9230769230769231,0.10256410256410256,2.693152623539292
18,circle,image_first,38,2,36,4,0.9,0.05,2.9264051924960732
18,circle,simultaneous,35,4,36,4,0.9,0.10256410256410256,2.548627316811045
18,circle,word_first,38,2,38,2,0.95,0.05,3.289707253902944
18,square,image_first,37,3,38,2,0.95,0.075,3.0843850978899274
18,square,simultaneous,36,4,35,5,0.875,0.1,2.4319009459206087
18,square,word_first,39,1,35,5,0.875,0.025,3.1103133649160615
18,triangle,image_first,39,1,39,1,0.975,0.025,3.919927969080107
18,triangle,simultaneous,36,4,38,2,0.95,0.1,2.9264051924960723
18,triangle,word_first,39,1,38,2,0.95,0.025,3.6048176114915256
19,circle,image_first,40,0,37,3,0.925,0.0125,3.6809341985434005
19,circle,simultaneous,39,1,35,5,0.875,0.025,3.1103133649160615
19,circle,word_first,38,2,37,3,0.925,0.05,3.0843850978899283
19,square,image_first,38,1,38,2,0.95,0.02564102564102564,3.5939656238913593
19,square,simultaneous,35,5,36,4,0.9,0.125,2.4319009459206087
19,square,word_first,38,2,36,4,0.9,0.05,2.9264051924960732
19,triangle,image_first,39,1,37,2,0.9487179487179487,0.025,3.5925119503864016
19,triangle,simultaneous,36,4,38,2,0.95,0.1,2.9264051924960723
19,triangle,word_first,38,2,40,0,0.9875,0.05,3.8862563545564193
20,circle,image_first,39,0,39,1,0.975,0.01282051282051282,4.191569819800977
20,circle,simultaneous,39,1,39,1,0.975,0.025,3.919927969080107
20,circle,word_first,38,1,39,1,0.975,0.02564102564102564,3.9090759814799414
20,square,image_first,39,1,33,6,0.8461538461538461,0.025,2.9800402173262555
20,square,simultaneous,31,6,36,4,0.9,0.16216216216216217,2.2671619824118703
20,square,word_first,40,0,34,5,0.8717948717948718,0.0125,3.3763193455984357
20,triangle,image_first,39,1,30,10,0.75,0.025,2.6344537347361356
20,triangle,simultaneous,34,3,32,6,0.8421052631578947,0.08108108108108109,2.4009844966336376
20,triangle,word_first,38,2,36,2,0.9473684210526315,0.05,3.264709885589742
21,circle,image_first,39,1,37,2,0.9487179487179487,0.025,3.5925119503864016
21,circle,simultaneous,38,2,40,0,0.9875,0.05,3.8862563545564193
21,circle,word_first,38,1,40,0,0.9875,0.02564102564102564,4.190514724544834
21,square,image_first,38,1,40,0,0.9875,0.02564102564102564,4.190514724544834
21,square,simultaneous,40,0,38,2,0.95,0.0125,3.886256354556416
21,square,word_first,39,1,36,4,0.9,0.025,3.241515550084655
21,triangle,image_first,39,1,39,1,0.975,0.025,3.919927969080107
21,triangle,simultaneous,40,0,37,3,0.925,0.0125,3.6809341985434005
21,triangle,word_first,40,0,40,0,0.9875,0.0125,4.482805455209891
22,circle,image_first,39,1,35,5,0.875,0.025,3.1103133649160615
22,circle,simultaneous,38,2,37,3,0.925,0.05,3.0843850978899283
22,circle,word_first,36,4,35,5,0.875,0.1,2.4319009459206087
22,square,image_first,39,1,37,3,0.925,0.025,3.39949545547851
22,square,simultaneous,39,1,39,1,0.975,0.025,3.919927969080107
22,square,word_first,36,4,40,0,0.9875,0.1,3.5229542931495472
22,triangle,image_first,39,0,34,6,0.85,0.01282051282051282,3.2680392247547125
22,triangle,simultaneous,39,1,35,5,0.875,0.025,3.1103133649160615
22,triangle,word_first,39,1,36,4,0.9,0.025,3.241515550084655
23,circle,image_first,31,9,34,6,0.85,0.225,1.7918484158542587
23,circle,simultaneous,30,10,37,3,0.925,0.25,2.1140212211345375
23,circle,word_first,33,7,38,2,0.95,0.175,2.579442918024952
23,square,image_first,30,10,33,7,0.825,0.25,1.6090790412695615
23,square,simultaneous,35,5,35,5,0.875,0.125,2.3006987607520157
23,square,word_first,34,6,32,8,0.8,0.15,1.8780546230667037
23,triangle,image_first,36,4,38,2,0.95,0.1,2.9264051924960723
23,triangle,simultaneous,30,10,39,1,0.975,0.25,2.634453734736135
23,triangle,word_first,38,2,40,0,0.9875,0.05,3.8862563545564193
24,circle,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
24,circle,simultaneous,38,2,38,2,0.95,0.05,3.289707253902944
24,circle,word_first,39,1,39,0,0.9871794871794872,0.025,4.1915698198009785
24,square,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
24,square,simultaneous,39,1,37,3,0.925,0.025,3.39949545547851
24,square,word_first,39,1,39,1,0.975,0.025,3.919927969080107
24,triangle,image_first,39,1,37,3,0.925,0.025,3.39949545547851
24,triangle,simultaneous,38,0,34,6,0.85,0.013157894736842105,3.257952977831626
24,triangle,word_first,39,1,37,3,0.925,0.025,3.39949545547851
25,circle,image_first,39,1,34,6,0.85,0.025,2.996397374033843
25,circle,simultaneous,34,6,39,0,0.9871794871794872,0.15,3.268039224754714
25,circle,word_first,39,1,38,2,0.95,0.025,3.6048176114915256
25,square,image_first,40,0,35,5,0.875,0.0125,3.3917521079809525
25,square,simultaneous,38,2,36,4,0.9,0.05,2.9264051924960732
25,square,word_first,37,3,36,4,0.9,0.075,2.7210830364830567
25,triangle,image_first,38,2,38,2,0.95,0.05,3.289707253902944
25,triangle,simultaneous,35,5,39,1,0.975,0.125,3.1103133649160615
25,triangle,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
26,circle,image_first,36,4,38,2,0.95,0.1,2.9264051924960723
26,circle,simultaneous,40,0,37,3,0.925,0.0125,3.6809341985434005
26,circle,word_first,37,3,40,0,0.9875,0.075,3.680934198543402
26,square,image_first,40,0,38,2,0.95,0.0125,3.886256354556416
26,square,simultaneous,38,2,37,2,0.9487179487179487,0.05,3.277401592797821
26,square,word_first,35,5,37,3,0.925,0.125,2.5898808513144638
26,triangle,image_first,37,3,40,0,0.9875,0.075,3.680934198543402
26,triangle,simultaneous,35,4,40,0,0.9875,0.10256410256410256,3.5084784788713907
26,triangle,word_first,35,5,40,0,0.9875,0.125,3.3917521079809543
27,circle,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
27,circle,simultaneous,40,0,40,0,0.9875,0.0125,4.482805455209891
27,circle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
27,square,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
27,square,simultaneous,39,1,40,0,0.9875,0.025,4.201366712145
27,square,word_first,39,1,37,3,0.925,0.025,3.39949545547851
27,triangle,image_first,37,3,40,0,0.9875,0.075,3.680934198543402
27,triangle,simultaneous,40,0,38,2,0.95,0.0125,3.886256354556416
27,triangle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
28,circle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
28,circle,simultaneous,37,3,38,2,0.95,0.075,3.0843850978899274
28,circle,word_first,38,2,38,2,0.95,0.05,3.289707253902944
28,square,image_first,39,1,35,5,0.875,0.025,3.1103133649160615
28,square,simultaneous,38,2,36,4,0.9,0.05,2.9264051924960732
28,square,word_first,39,1,37,3,0.925,0.025,3.39949545547851
28,triangle,image_first,40,0,39,1,0.975,0.0125,4.201366712144998
28,triangle,simultaneous,36,4,39,1,0.975,0.1,3.2415155500846544
28,triangle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
29,circle,image_first,39,1,39,1,0.975,0.025,3.919927969080107
29,circle,simultaneous,36,3,37,3,0.925,0.07692307692307693,2.865608343211303
29,circle,word_first,39,1,38,1,0.9743589743589743,0.025,3.909075981479941
29,square,image_first,40,0,37,3,0.925,0.0125,3.6809341985434005
29,square,simultaneous,39,0,37,3,0.925,0.01282051282051282,3.671137306199379
29,square,word_first,39,1,35,5,0.875,0.025,3.1103133649160615
29,triangle,image_first,39,1,40,0,0.9875,0.025,4.201366712145
29,triangle,simultaneous,38,2,40,0,0.9875,0.05,3.8862563545564193
29,triangle,word_first,36,4,38,2,0.95,0.1,2.9264051924960723
30,circle,image_first,40,0,39,1,0.975,0.0125,4.201366712144998
30,circle,simultaneous,38,2,32,8,0.8,0.05,2.486474860524387
30,circle,word_first,36,4,36,4,0.9,0.1,2.5631031310892016
30,square,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
30,square,simultaneous,37,3,39,1,0.975,0.075,3.399495455478509
30,square,word_first,38,2,40,0,0.9875,0.05,3.8862563545564193
30,triangle,image_first,39,1,38,2,0.95,0.025,3.6048176114915256
30,triangle,simultaneous,37,3,37,3,0.925,0.075,2.879062941876912
30,triangle,word_first,38,2,38,2,0.95,0.05,3.289707253902944
31,circle,image_first,30,9,38,2,0.95,0.23076923076923078,2.381169544327601
31,circle,simultaneous,38,2,36,2,0.9473684210526315,0.05,3.264709885589742
31,circle,word_first,33,5,38,1,0.9743589743589743,0.13157894736842105,3.0680703780024468
31,square,image_first,34,4,37,3,0.925,0.10526315789473684,2.6916509912036757
31,square,simultaneous,32,7,35,4,0.8974358974358975,0.1794871794871795,2.184396936885672
31,square,word_first,39,1,36,2,0.9473684210526315,0.025,3.579820243178323
31,triangle,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
31,triangle,simultaneous,37,3,39,0,0.9871794871794872,0.075,3.6711373061993804
31,triangle,word_first,40,0,39,1,0.975,0.0125,4.201366712144998
32,circle,image_first,39,1,38,2,0.95,0.025,3.6048176114915256
32,circle,simultaneous,36,4,37,3,0.925,0.1,2.7210830364830567
32,circle,word_first,36,4,37,3,0.925,0.1,2.7210830364830567
32,square,image_first,37,3,36,4,0.9,0.075,2.7210830364830567
32,square,simultaneous,39,1,37,3,0.925,0.025,3.39949545547851
32,square,word_first,40,0,36,4,0.9,0.0125,3.5229542931495454
32,triangle,image_first,38,2,39,1,0.975,0.05,3.6048176114915265
32,triangle,simultaneous,38,2,40,0,0.9875,0.05,3.8862563545564193
32,triangle,word_first,35,5,40,0,0.9875,0.125,3.3917521079809543
33,circle,image_first,39,1,40,0,0.9875,0.025,4.201366712145
33,circle,simultaneous,35,5,39,1,0.975,0.125,3.1103133649160615
33,circle,word_first,39,1,38,2,0.95,0.025,3.6048176114915256
33,square,image_first,38,2,33,6,0.8461538461538461,0.05,2.6649298597376743
33,square,simultaneous,37,3,39,1,0.975,0.075,3.399495455478509
33,square,word_first,36,4,39,1,0.975,0.1,3.2415155500846544
33,triangle,image_first,38,0,38,2,0.95,0.013157894736842105,3.866373215289308
33,triangle,simultaneous,38,2,34,4,0.8947368421052632,0.05,2.896973147216692
33,triangle,word_first,37,3,36,4,0.9,0.075,2.7210830364830567
34,circle,image_first,39,1,40,0,0.9875,0.025,4.201366712145
34,circle,simultaneous,37,3,39,1,0.975,0.075,3.399495455478509
34,circle,word_first,40,0,38,2,0.95,0.0125,3.886256354556416
34,square,image_first,39,1,40,0,0.9875,0.025,4.201366712145
34,square,simultaneous,34,6,39,1,0.975,0.15,2.996397374033843
34,square,word_first,39,1,40,0,0.9875,0.025,4.201366712145
34,triangle,image_first,39,1,40,0,0.9875,0.025,4.201366712145
34,triangle,simultaneous,39,0,34,4,0.8947368421052632,0.01282051282051282,3.4837253555261425
34,triangle,word_first,39,1,40,0,0.9875,0.025,4.201366712145
35,circle,image_first,40,0,40,0,0.9875,0.0125,4.482805455209891
35,circle,simultaneous,36,4,39,1,0.975,0.1,3.2415155500846544
35,circle,word_first,37,3,36,4,0.9,0.075,2.7210830364830567
35,square,image_first,36,4,34,6,0.85,0.1,2.31798495503839
35,square,simultaneous,38,2,37,3,0.925,0.05,3.0843850978899283
35,square,word_first,38,2,39,1,0.975,0.05,3.6048176114915265
35,triangle,image_first,37,3,36,4,0.9,0.075,2.7210830364830567
35,triangle,simultaneous,40,0,38,2,0.95,0.0125,3.886256354556416
35,triangle,word_first,39,1,35,5,0.875,0.025,3.1103133649160615
36,circle,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
36,circle,simultaneous,36,3,38,1,0.9743589743589743,0.07692307692307693,3.3751888692127343
36,circle,word_first,39,1,38,1,0.9743589743589743,0.025,3.909075981479941
36,square,image_first,39,1,37,3,0.925,0.025,3.39949545547851
36,square,simultaneous,31,6,27,12,0.6923076923076923,0.16216216216216217,1.4880126402406249
36,square,word_first,38,2,36,4,0.9,0.05,2.9264051924960732
36,triangle,image_first,37,3,37,3,0.925,0.075,2.879062941876912
36,triangle,simultaneous,38,1,39,0,0.9871794871794872,0.02564102564102564,4.180717832200813
36,triangle,word_first,40,0,39,0,0.9871794871794872,0.0125,4.47300856286587
37,circle,image_first,38,2,37,3,0.925,0.05,3.0843850978899283
37,circle,simultaneous,36,4,37,3,0.925,0.1,2.7210830364830567
37,circle,word_first,34,6,36,3,0.9230769230769231,0.15,2.4625102617666372
37,square,image_first,35,5,38,2,0.95,0.125,2.7952030073274794
37,square,simultaneous,36,4,40,0,0.9875,0.1,3.5229542931495472
37,square,word_first,33,7,39,1,0.975,0.175,2.894553275613534
37,triangle,image_first,32,8,33,7,0.825,0.2,1.776210524646394
37,triangle,simultaneous,35,5,31,9,0.775,0.125,1.9057644067364772
37,triangle,word_first,36,4,30,10,0.75,0.1,1.9560413157406824
38,circle,image_first,38,2,39,1,0.975,0.05,3.6048176114915265
38,circle,simultaneous,38,2,39,1,0.975,0.05,3.6048176114915265
38,circle,word_first,40,0,36,3,0.9230769230769231,0.0125,3.6674795998777925
38,square,image_first,38,2,38,1,0.9743589743589743,0.05,3.5939656238913598
38,square,simultaneous,36,3,40,0,0.9875,0.07692307692307693,3.667479599877794
38,square,word_first,37,2,40,0,0.9875,0.05128205128205128,3.873950693451295
38,triangle,image_first,39,0,31,8,0.7948717948717948,0.01282051282051282,3.055048322484741
38,triangle,simultaneous,39,1,37,3,0.925,0.025,3.39949545547851
38,triangle,word_first,40,0,34,6,0.85,0.0125,3.277836117098734
39,circle,image_first,30,10,36,3,0.9230769230769231,0.25,2.1005666224689294
39,circle,simultaneous,30,8,33,6,0.8461538461538461,0.21052631578947367,1.8246726131465016
39,circle,word_first,35,5,39,1,0.975,0.125,3.1103133649160615
39,square,image_first,32,7,39,1,0.975,0.1794871794871795,2.8772851701592814
39,square,simultaneous,30,9,30,9,0.7692307692307693,0.23076923076923078,1.4726318347522591
39,square,word_first,36,4,33,7,0.825,0.1,2.2161408566180807
39,triangle,image_first,35,5,36,3,0.9230769230769231,0.125,2.5764262526488557
39,triangle,simultaneous,33,5,36,4,0.9,0.13157894736842105,2.4005099466071607
39,triangle,word_first,37,3,34,5,0.8717948717948718,0.075,2.5744480889319465
40,circle,image_first,39,1,39,1,0.975,0.025,3.919927969080107
40,circle,simultaneous,40,0,35,5,0.875,0.0125,3.3917521079809525
40,circle,word_first,40,0,35,5,0.875,0.0125,3.3917521079809525
40,square,image_first,38,2,40,0,0.9875,0.05,3.8862563545564193
40,square,simultaneous,39,1,36,4,0.9,0.025,3.241515550084655
40,square,word_first,38,2,36,4,0.9,0.05,2.9264051924960732
40,triangle,image_first,37,3,40,0,0.9875,0.075,3.680934198543402
40,triangle,simultaneous,39,1,38,2,0.95,0.025,3.6048176114915256
40,triangle,word_first,40,0,38,2,0.95,0.0125,3.886256354556416
