subj_idx,Bad_match_I,Bad_match_S,Bad_match_W,Bad_mismatch_I,Bad_mismatch_S,Bad_mismatch_W,Good_match_I,Good_match_S,Good_match_W,Good_mismatch_I,Good_mismatch_S,Good_mismatch_W,Neutral_match_I,Neutral_match_S,Neutral_match_W,Neutral_mismatch_I,Neutral_mismatch_S,Neutral_mismatch_W
1,6.428509068369469,6.527507973857929,6.406879986069314,6.505111188060674,6.649416235764266,6.474854737687903,6.411941412836584,6.4685742783551365,6.307870728881881,6.54225579881702,6.59649747000165,6.462405237175058,6.481066534422346,6.512265253896051,6.407937225082642,6.602045004010965,6.671870647319024,6.526421650448901
2,6.391791477360023,6.580123847026406,6.373620888590679,6.57448842594142,6.727132278823764,6.602545489662139,6.456367046661016,6.622128236366493,6.545500889068167,6.577397643360778,6.751204662786498,6.6305367903185,6.495143069461403,6.5653454496941706,6.338140953903436,6.564446825359935,6.693683358939854,6.554796365763867
3,6.563767370319261,6.587550014824796,6.462173572664521,6.4853983032037545,6.598840367779995,6.513442042671074,6.3835910907769655,6.444416569221482,6.3638898011379466,6.468186628356165,6.593968764444248,6.455647698761999,6.424124079632205,6.483228058802387,6.330484555807994,6.468823869290812,6.606852868359501,6.458251201880024
4,6.832477391975602,6.860578677185348,6.5839623195179975,6.810387428068346,6.870982094501237,6.687816047805736,6.687927652479009,6.840546529288687,6.60115860587441,6.834076119304107,6.857266614353592,6.682153351192348,6.691221777517993,6.749094443676992,6.608077738189401,6.7046028741464925,6.8363723355021735,6.706617807930542
5,6.525367971914916,6.677328323513335,6.581678818543044,6.643039767650404,6.846770795125828,6.666891545960649,6.564525259897544,6.615261649533134,6.578104721707854,6.657331210515789,6.899560503014526,6.67900781977156,6.546445550855057,6.59774020103864,6.384415784891429,6.574288777021497,6.737392696969483,6.504940501795997
6,6.516344786579552,6.69807334374647,6.49352106517652,6.507165765820721,6.763233307674528,6.483718785288537,6.369269925786775,6.59774020103864,6.384055470732541,6.557178916948497,6.693291058333698,6.521761861063567,6.5650054849264965,6.76086026432076,6.5400154837290785,6.509762185712674,6.775892822578804,6.553577215241992
7,6.257520214807433,6.485610163122769,6.3483354177977604,6.3000974844376065,6.5396220821327296,6.432982400187412,6.174907270032033,6.365825910164813,6.24356926132128,6.337012020267695,6.526880082426973,6.416908914147511,6.338164227450296,6.560057774120369,6.32330422122246,6.326055315629489,6.597460480757096,6.420279903824362
8,6.618738983517219,6.66238115529708,6.471736005001315,6.556931907022068,6.734433105984983,6.589831012935388,6.563399104458272,6.581733508677869,6.37040448215914,6.636216706007645,6.698127124685591,6.516432932130463,6.534313571037878,6.6241728994016125,6.456890406643976,6.672532487557876,6.767854438072135,6.578593100765552
9,6.560712369135207,6.6563095679527535,6.599676116862142,6.6154308685876035,6.7484818511354305,6.607224345661445,6.478115693259258,6.653595106567894,6.525029657843462,6.540548882991063,6.732931856576061,6.588963652945706,6.455529524786135,6.642692640333299,6.51696940184303,6.6125578574194055,6.715383386334681,6.489049046679639
10,6.535655864717773,6.663972566364194,6.4173340965699515,6.653351140373428,6.690540066237808,6.569165802589789,6.533389048725962,6.599121919777424,6.469495084879236,6.61233967601793,6.709143865251937,6.5134305880485615,6.4150549926189315,6.580529634246131,6.3687287026092125,6.570344140191735,6.6718057206860975,6.501674596831758
11,6.716836874962664,6.9542298390384865,6.75890073502109,6.661247139113145,6.911972181788242,6.713867085816717,6.361647841071506,6.760083565252588,6.385700173264597,6.646457112696644,6.819042209234072,6.5429521525928624,6.591854208105089,6.770757568151845,6.612880735948852,6.628933834962552,6.830334132013552,6.707958845116565
12,6.435280026361715,6.5722825426940075,6.442867950882643,6.461088036542167,6.543573235555631,6.439350371100098,6.272122004622799,6.387300106240303,6.359049457312098,6.494157187643784,6.5710330111057145,6.458446373924801,6.350272350020193,6.4289333957910095,6.363341534039818,6.521127258657453,6.552130203906241,6.445392968590055
13,6.492713207810376,6.594036012234092,6.364084275294333,6.475852855356023,6.723169090879803,6.463370662354021,6.173681931809546,6.437271534499525,6.212606095751519,6.503960649846737,6.6080471596500825,6.434025798445897,6.447497939372536,6.592339784886534,6.370709255783202,6.626162158064359,6.640995654772224,6.577035216838787
