subj_idx,circle_match_I,circle_match_S,circle_match_W,circle_mismatch_I,circle_mismatch_S,circle_mismatch_W,square_match_I,square_match_S,square_match_W,square_mismatch_I,square_mismatch_S,square_mismatch_W,triangle_match_I,triangle_match_S,triangle_match_W,triangle_mismatch_I,triangle_mismatch_S,triangle_mismatch_W
1,6.350100067859349,6.476577807745484,6.32588110083162,6.480162535146869,6.655541950570935,6.401662029591328,6.3863741412766295,6.495190024383666,6.3157288698219824,6.443932508811483,6.646723459748425,6.411120158735484,6.329720905522696,6.49696834272615,6.313683906612879,6.421703565314794,6.570128530014099,6.410385723435248
2,6.2847558583242735,6.4565683713783315,6.327579577081353,6.479320032306449,6.618242961224202,6.496219147871952,6.2635887206438134,6.524993000280086,6.262176515341301,6.43948348258116,6.590084136298218,6.41791622190229,6.329766610406271,6.446137443112676,6.436239395745405,6.424504289650772,6.559106645917634,6.46449929216291
3,6.273537165951479,6.433699004407041,6.227444279931442,6.323368092458071,6.524846356587335,6.261716176408639,6.254435914700464,6.4177033706486695,6.235608265461945,6.330002318216266,6.527511099165577,6.29186939477751,6.276841332848076,6.446017394153434,6.240005069939633,6.283831573948619,6.483197291647033,6.242278850347206
4,6.441538755305264,6.706624601201128,6.480997515117619,6.590412417106314,6.757319911050504,6.50391385199007,6.574850863658808,6.745614429263698,6.521022707110308,6.582183416829213,6.757082415502429,6.608045608539836,6.454178155088317,6.712382254443451,6.536307892272279,6.602437119478911,6.692359414458753,6.508259163047756
5,6.237974002681236,6.5085455650364805,6.129649159195001,6.488064463609991,6.7175182669390505,6.3265071909196005,6.266301312831069,6.529053808143187,6.220694799971663,6.561702293204027,6.6689903467649705,6.313095045136846,6.280021236970423,6.410218163577981,6.193358270590147,6.438653806772903,6.629198114307357,6.305573187642336
6,6.2828076728761015,6.438161822014506,6.294712342663853,6.3413988753371155,6.4585733654287,6.326287072054525,6.261943570955398,6.447562821857402,6.328963042659595,6.4235310140964295,6.5391161921168814,6.355803795088969,6.285409859197785,6.507660341048567,6.380643913345361,6.363071206059814,6.439589959010042,6.3305672495897864
7,6.2646831510544985,6.489696496523463,6.241424782530218,6.371483633884671,6.548761045252314,6.345913330779127,6.382572699613435,6.509163553787716,6.340157721305056,6.319868609079685,6.62107270686344,6.312641838693557,6.244614895892613,6.388130371056198,6.197488023708514,6.357119879710811,6.5167997801416595,6.323991281524149
8,6.33063584069836,6.47025546828133,6.349327973710513,6.446805278516076,6.591939195243559,6.455103266251376,6.445379625471769,6.566391096280496,6.411659348361132,6.401538067771409,6.624260505974273,6.485271165704378,6.455872190849597,6.479474723876736,6.362673070949816,6.3637733988982355,6.592183106468666,6.446116566068029
9,6.460686621018898,6.6350828038406595,6.393093477658203,6.463246108783641,6.685896616130802,6.312274223166239,6.475314184137129,6.557527759628538,6.2678170567533344,6.510853401534461,6.6610941001877855,6.367826012531668,6.392174778944144,6.613048591593392,6.365011506247146,6.5049948432811,6.59513519346138,6.3012202729340965
10,6.339071473543323,6.603353003167747,6.524373477177247,6.454936474490502,6.622054149150208,6.627971755265382,6.429988259118567,6.592435520725319,6.552061995913812,6.455355783684759,6.606970191889936,6.576286294667637,6.3997888117929485,6.545205971850804,6.473890696352274,6.430876789898491,6.617162993058091,6.5807161877915945
11,6.406178419897295,6.6568618147150245,6.390911582890583,6.477458074872032,6.685039267838549,6.381994111796596,6.460139168614031,6.629769633611689,6.377661884858489,6.523819248173794,6.716487945425087,6.44856477151781,6.492921420869872,6.629050335123959,6.465346862464732,6.414235187315436,6.650776486790984,6.443097336061154
12,6.3377860789672225,6.482073674161876,6.258305953687911,6.456217931420237,6.627576517684813,6.3346228761229035,6.325859337756546,6.512370769427449,6.3135027553964065,6.423289683058485,6.613136925353729,6.318875709384883,6.2675257870524685,6.499099371397655,6.18420175763412,6.385948530119193,6.5172719756701065,6.332607326923434
13,6.195538535701841,6.503894146974158,6.1830142268310135,6.404378037493903,6.639834983318963,6.389528597455892,6.290740336156661,6.53146842315062,6.3545988475710296,6.350701994502208,6.586927764926946,6.478410534180738,6.215496592483307,6.489789282420073,6.3172622524822755,6.322657304003947,6.622188614535107,6.460083289268699
14,6.246806348451034,6.394810293838451,6.190093848302667,6.275728622695877,6.456900468575163,6.29875572968069,6.377781985802012,6.447305862541213,6.330765292040603,6.288662015060886,6.437065700241116,6.260817905519583,6.294461439054496,6.451044722231749,6.25733228263197,6.309672547791566,6.437102790624202,6.284612424028888
15,6.437973847270923,6.5077489289177235,6.366877310149745,6.607711398974476,6.657974368139628,6.547636913265644,6.426858245758105,6.570466492858884,6.397850283939025,6.592487872385711,6.637131189434933,6.5370867764148635,6.491503633354585,6.473723848933852,6.332578251074022,6.5667576667620375,6.601523847619224,6.484635235635252
16,6.244700738729361,6.407003740787621,6.1823800225517385,6.378783549866415,6.527299806378001,6.327164284656403,6.375723479303701,6.529381405407404,6.389424081255786,6.420742953614886,6.554383145432087,6.348313087089161,6.295588827554471,6.452364362104247,6.231568713729237,6.417467306433695,6.5349435079564095,6.328806368900356
17,6.477642749570152,6.580952273345125,6.448722824645348,6.713997144560099,6.706498826412197,6.5809164913291625,6.531628295634758,6.585587930143892,6.485047776895228,6.689883521597026,6.720153137744257,6.556996863752051,6.51397167564781,6.560252428211817,6.446997662208559,6.594223443217769,6.669943867833543,6.511872683029316
18,6.432984750548721,6.563110851900917,6.355513551499429,6.483429205338316,6.626225669825049,6.406358745504998,6.420637615459052,6.602471583816941,6.405653397247321,6.427319040443518,6.601645189579882,6.46606496670049,6.424702779775501,6.642315236523903,6.416474251289117,6.483342562560247,6.580446485040918,6.433681840826099
19,6.420523004202365,6.440399569472012,6.219837643725804,6.54441531592462,6.595710454060067,6.2990459914020445,6.5131910659520305,6.484889656193805,6.282214824468102,6.606081034219277,6.654704650499997,6.347343121396986,6.416953067181936,6.489084943323974,6.229201100725092,6.552142042295015,6.575424454861474,6.3081463744034885
20,6.637123600096219,6.879672310239312,6.588432580677364,6.593852075923941,6.804586092800878,6.440190777906433,6.706565930524253,6.895513992559783,6.671288066469456,6.596760837546579,6.764257334174725,6.51471269087253,6.604124476755241,6.814165493450562,6.552904067856697,6.629938909955724,6.782158708778777,6.529879738562288
21,6.329624547842915,6.2727354870988,6.191953407857386,6.494568124780062,6.492758042035835,6.203281030828075,6.478931980046718,6.416302193477267,6.197461939587221,6.489564808970803,6.533534445113117,6.257077965224047,6.337460882243014,6.37276618188618,6.209092917734082,6.509876704827947,6.348833000513423,6.220142753920666
22,6.35068624531329,6.499258553134153,6.463475089726619,6.357797827001371,6.499826612488628,6.355577041547385,6.352629396319567,6.539845296522741,6.391623938092615,6.391143718149102,6.594238061156026,6.439838359930402,6.412831952540743,6.482145770894448,6.604094370329022,6.339906978769796,6.463709253008031,6.394276566236407
23,6.192482775756367,6.427493812148424,6.30665938528191,6.313197353655581,6.471676312256136,6.317766190524818,6.2833989292982935,6.427320288921155,6.298949246855942,6.316803610736861,6.427828289948082,6.33911358572175,6.174936757435648,6.38856140554563,6.162472344001663,6.321267769811638,6.444502147106578,6.2828076728761015
24,6.482906140164542,6.652591345591572,6.437177125754742,6.561384210181677,6.706025543402749,6.56266136691565,6.5987958080830715,6.785251659421605,6.613246538965856,6.534188467373187,6.712052281033196,6.534310466917935,6.64037032380553,6.716345490209204,6.60781824006149,6.504173012599108,6.739834790391326,6.597005768354851
25,6.246106765481563,6.538251138956743,6.269993010712996,6.255060793990752,6.582432421104296,6.294461439054496,6.280021236970423,6.488951606434792,6.36785360680059,6.2735843035224885,6.580493130568381,6.241644698706613,6.260185085813633,6.437956756905616,6.241225062138102,6.2618431693488885,6.578060026639948,6.226091906363478
26,6.386746402501945,6.5478318210875734,6.317976631399225,6.419949686443332,6.641280076174754,6.4848827808135105,6.523446370841285,6.6831918011302935,6.6627874636460085,6.564877571062406,6.681415836770908,6.591477749646444,6.25967706178977,6.405145809987487,6.372380782294734,6.414654520442141,6.582974430950508,6.418877505552056
27,6.362467601661044,6.465872525453056,6.263826742209691,6.449522105335317,6.554503042320907,6.364132709860668,6.321622246076674,6.467659905475067,6.26612298987692,6.432658702670392,6.576755222124508,6.40624510572293,6.313004420278385,6.43644553398056,6.23998340475342,6.436756560204401,6.546821278123021,6.436561197839895
28,6.141768552245234,6.3063233073086575,6.0787883752796565,6.1297952598127505,6.354745998318579,6.164588231109253,6.23250414744779,6.336087995959901,6.14482340773764,6.104220724241107,6.369540427569228,6.163044862070524,6.1165711273763765,6.294745476170588,6.039837957781072,6.153689683452774,6.353548447343214,6.143415006025638
