subj_idx,matchness,valence,condition,N,countN,ACC
9,mismatch,Good,image_first,40,39,0.975
9,mismatch,Good,simultaneous,40,38,0.95
9,mismatch,Good,word_first,40,37,0.925
9,mismatch,Neutral,image_first,40,39,0.975
9,mismatch,Neutral,simultaneous,40,39,0.975
9,mismatch,Neutral,word_first,40,39,0.975
10,match,Bad,image_first,40,35,0.875
10,match,Bad,simultaneous,40,38,0.95
10,match,Bad,word_first,40,38,0.95
10,match,Good,image_first,40,40,1
10,match,Good,simultaneous,40,40,1
10,match,Good,word_first,40,38,0.95
10,match,Neutral,image_first,40,39,0.975
10,match,Neutral,simultaneous,39,38,0.9743589743589743
10,match,Neutral,word_first,40,38,0.95
10,mismatch,Bad,image_first,39,37,0.9487179487179487
10,mismatch,Bad,simultaneous,40,37,0.925
10,mismatch,Bad,word_first,40,40,1
10,mismatch,Good,image_first,40,36,0.9
10,mismatch,Good,simultaneous,40,38,0.95
10,mismatch,Good,word_first,40,37,0.925
10,mismatch,Neutral,image_first,39,39,1
10,mismatch,Neutral,simultaneous,39,39,1
10,mismatch,Neutral,word_first,40,39,0.975
11,match,Bad,image_first,40,40,1
11,match,Bad,simultaneous,39,28,0.717948717948718
11,match,Bad,word_first,39,36,0.9230769230769231
11,match,Good,image_first,40,40,1
11,match,Good,simultaneous,39,35,0.8974358974358975
11,match,Good,word_first,40,40,1
11,match,Neutral,image_first,39,38,0.9743589743589743
11,match,Neutral,simultaneous,39,36,0.9230769230769231
11,match,Neutral,word_first,40,40,1
11,mismatch,Bad,image_first,40,40,1
11,mismatch,Bad,simultaneous,38,31,0.8157894736842105
11,mismatch,Bad,word_first,40,40,1
11,mismatch,Good,image_first,40,39,0.975
11,mismatch,Good,simultaneous,40,37,0.925
11,mismatch,Good,word_first,40,39,0.975
11,mismatch,Neutral,image_first,40,40,1
11,mismatch,Neutral,simultaneous,39,36,0.9230769230769231
11,mismatch,Neutral,word_first,40,39,0.975
12,match,Bad,image_first,40,35,0.875
12,match,Bad,simultaneous,40,34,0.85
12,match,Bad,word_first,40,34,0.85
12,match,Good,image_first,40,40,1
12,match,Good,simultaneous,40,40,1
12,match,Good,word_first,40,33,0.825
12,match,Neutral,image_first,40,37,0.925
12,match,Neutral,simultaneous,40,39,0.975
12,match,Neutral,word_first,39,33,0.8461538461538461
