subj_idx,gender,year,education,dist,trial_type,rt,response,key_press,condition,correct_response,correct,word,Image,shape_en,valence,ACC,exp,matchness
1,0,2000,5,408.81,psychophysics,822,f,f,image_first,f,TRUE,常人,img/S_ambi40.png,square,Neutral,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,741,f,f,image_first,f,TRUE,好人,img/T_ambi40.png,triangle,Good,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,781,j,j,image_first,j,TRUE,常人,img/T_ambi40.png,triangle,Neutral,1,exp2,match
1,0,2000,5,408.81,psychophysics,683,f,f,image_first,f,TRUE,坏人,img/C_ambi40.png,circle,Bad,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,599,j,j,image_first,j,TRUE,常人,img/T_ambi40.png,triangle,Neutral,1,exp2,match
1,0,2000,5,408.81,psychophysics,783,f,f,image_first,f,TRUE,好人,img/S_ambi40.png,square,Good,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,603,j,j,image_first,j,TRUE,坏人,img/S_ambi40.png,square,Bad,1,exp2,match
1,0,2000,5,408.81,psychophysics,724,f,f,image_first,f,TRUE,常人,img/C_ambi40.png,circle,Neutral,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,918,j,j,image_first,j,TRUE,好人,img/C_ambi40.png,circle,Good,1,exp2,match
1,0,2000,5,408.81,psychophysics,731,f,f,image_first,f,TRUE,坏人,img/T_ambi40.png,triangle,Bad,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,623,j,j,image_first,j,TRUE,坏人,img/S_ambi40.png,square,Bad,1,exp2,match
1,0,2000,5,408.81,psychophysics,617,j,j,image_first,j,TRUE,好人,img/C_ambi40.png,circle,Good,1,exp2,match
1,0,2000,5,408.81,psychophysics,568,j,j,image_first,j,TRUE,好人,img/C_ambi40.png,circle,Good,1,exp2,match
1,0,2000,5,408.81,psychophysics,656,f,f,image_first,f,TRUE,好人,img/S_ambi40.png,square,Good,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,708,f,f,image_first,f,TRUE,坏人,img/C_ambi40.png,circle,Bad,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,531,j,j,image_first,j,TRUE,常人,img/T_ambi40.png,triangle,Neutral,1,exp2,match
1,0,2000,5,408.81,psychophysics,795,f,f,image_first,f,TRUE,常人,img/S_ambi40.png,square,Neutral,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,709,f,f,image_first,f,TRUE,坏人,img/T_ambi40.png,triangle,Bad,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,1042,f,f,image_first,f,TRUE,常人,img/C_ambi40.png,circle,Neutral,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,734,j,j,image_first,j,TRUE,坏人,img/S_ambi40.png,square,Bad,1,exp2,match
1,0,2000,5,408.81,psychophysics,705,j,j,image_first,j,TRUE,坏人,img/S_ambi40.png,square,Bad,1,exp2,match
1,0,2000,5,408.81,psychophysics,736,j,j,image_first,j,TRUE,常人,img/T_ambi40.png,triangle,Neutral,1,exp2,match
1,0,2000,5,408.81,psychophysics,591,j,j,image_first,j,TRUE,好人,img/C_ambi40.png,circle,Good,1,exp2,match
1,0,2000,5,408.81,psychophysics,683,f,f,image_first,f,TRUE,好人,img/T_ambi40.png,triangle,Good,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,718,f,f,image_first,f,TRUE,常人,img/S_ambi40.png,square,Neutral,1,exp2,mismatch
1,0,2000,5,408.81,psychophysics,627,j,j,image_first,j,TRUE,坏人,img/S_ambi40.png,square,Bad,1,exp2,match
1,0,2000,5,408.81,psychophysics,635,f,f,image_first,f,TRUE,坏人,img/T_ambi40.png,triangle,Bad,1,exp2,mismatch
