effect,N,BF,stage,upper_threshold,lower_threshold
matchness:sequence:valence,20,1.0228099479188615,1,10,0.1
matchness:sequence,20,0.41944756183371357,1,6,0.16666666666666666
sequence:valence,20,0.2590061479214498,1,6,0.16666666666666666
matchness:valence,20,21.580020721088744,1,6,0.16666666666666666
sequence,20,2927085959622.4326,1,10,0.1
matchness:sequence:valence,30,0.9067554434483369,2,10,0.1
matchness:sequence,30,0.4372137893143624,2,6,0.16666666666666666
sequence:valence,30,0.36667236308405715,2,6,0.16666666666666666
matchness:valence,30,46.00952319466769,2,6,0.16666666666666666
sequence,30,8481249538113405e3,2,10,0.1
matchness:sequence:valence,40,1.187976027967561,3,10,0.1
matchness:sequence,40,0.741552781586926,3,6,0.16666666666666666
sequence:valence,40,10.799897657722894,3,6,0.16666666666666666
matchness:valence,40,223.99896734552811,3,6,0.16666666666666666
sequence,40,6730559074751399e9,3,10,0.1
